iter	Passed	Remaining
0	1	141
1	2	125
2	3	118
3	4	109
4	5	104
5	6	99
6	7	95
7	7	91
8	8	86
9	9	83
10	9	79
11	10	76
12	11	74
13	11	71
14	12	69
15	12	68
16	13	66
17	14	64
18	14	63
19	15	61
20	16	60
21	16	59
22	17	57
23	17	56
24	18	55
25	19	54
26	19	53
27	20	52
28	20	51
29	21	50
30	22	49
31	22	48
32	23	47
33	23	46
34	24	45
35	25	44
36	25	43
37	26	42
38	26	42
39	27	41
40	28	40
41	28	39
42	28	38
43	29	37
44	30	36
45	30	36
46	31	35
47	31	34
48	32	33
49	33	33
50	33	32
51	34	31
52	34	30
53	35	30
54	35	29
55	36	28
56	37	28
57	37	27
58	38	26
59	38	25
60	39	25
61	40	24
62	40	24
63	41	23
64	42	22
65	42	21
66	43	21
67	43	20
68	44	19
69	45	19
70	45	18
71	46	17
72	46	17
73	47	16
74	48	16
75	48	15
76	49	14
77	49	14
78	50	13
79	51	12
80	51	12
81	52	11
82	52	10
83	53	10
84	54	9
85	54	8
86	55	8
87	55	7
88	56	6
89	57	6
90	57	5
91	58	5
92	59	4
93	59	3
94	60	3
95	60	2
96	61	1
97	62	1
98	62	0
99	63	0
